time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5306.5,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base20
2,2.0,1,5298.5,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base20
3,3.5,1,5286.7,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base20
4,5.8,1,5269.1,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base20
5,9.1,1,5242.6,300.0,2.7,0.0,0.0,0.0,137.0,1.25,457.0,base20
6,14.2,1,5202.9,300.0,4.3,0.0,0.0,0.0,137.0,1.95,457.0,base20
7,21.8,1,5143.1,300.0,6.5,0.0,0.0,0.0,137.0,2.99,457.0,base20
8,33.2,1,5053.5,300.0,10.0,0.0,0.0,0.0,137.0,4.55,457.0,base20
9,34.2,2,4820.1,300.0,10.3,0.0,0.0,0.0,137.0,4.68,457.0,base20
10,35.2,1,4812.6,300.0,10.6,0.0,0.0,0.0,137.0,4.82,457.0,base20
11,36.7,1,4800.7,300.0,11.0,0.0,0.0,0.0,137.0,5.03,457.0,base20
12,38.9,1,4783.0,300.0,11.7,0.0,0.0,0.0,137.0,5.34,457.0,base20
13,42.3,1,4756.4,300.0,12.7,0.1,0.0,0.0,137.0,5.8,457.0,base20
14,47.4,1,4716.4,300.0,14.2,0.1,0.0,0.0,137.0,6.49,457.0,base20
15,55.0,1,4656.4,300.0,16.5,0.1,0.0,0.0,137.0,7.53,457.0,base20
16,66.3,1,4566.3,300.0,19.9,0.1,0.0,0.0,137.0,9.1,457.0,base20
17,67.3,2,4336.7,300.0,20.2,0.1,0.0,0.0,137.0,9.23,457.0,base20
18,68.3,1,4328.0,300.0,20.5,0.1,0.0,0.0,137.0,9.37,457.0,base20
19,69.8,1,4316.0,300.0,21.0,0.1,0.0,0.0,137.0,9.58,457.0,base20
20,72.1,1,4298.1,300.0,21.6,0.1,0.0,0.0,137.0,9.88,457.0,base20
21,75.5,1,4271.1,300.0,22.6,0.1,0.0,0.0,137.0,10.35,457.0,base20
22,80.5,1,4230.5,300.0,24.2,0.1,0.0,0.0,137.0,11.04,457.0,base20
23,88.1,1,4169.7,300.0,26.4,0.1,0.0,0.0,137.0,12.08,457.0,base20
24,99.5,1,4078.2,300.0,29.9,0.1,0.0,0.0,137.0,13.64,457.0,base20
25,100.5,2,3841.1,300.0,30.2,0.1,0.0,0.0,137.0,13.78,457.0,base20
26,101.5,1,3833.2,300.0,30.5,0.1,0.0,0.0,137.0,13.92,457.0,base20
27,103.0,1,3821.1,300.0,30.9,0.1,0.0,0.0,137.0,14.12,457.0,base20
28,105.3,1,3803.0,300.0,31.6,0.1,0.0,0.0,137.0,14.43,457.0,base20
29,108.6,1,3775.9,300.0,32.6,0.1,0.0,0.0,137.0,14.89,457.0,base20
30,113.7,1,3735.2,300.0,34.1,0.1,0.0,0.0,137.0,15.59,457.0,base20
31,121.3,1,3674.0,300.0,36.4,0.1,0.0,0.0,137.0,16.63,457.0,base20
32,132.7,1,3582.0,300.0,39.8,0.1,0.0,0.0,137.0,18.19,457.0,base20
33,133.7,2,3347.8,300.0,40.1,0.1,0.0,0.0,137.0,18.33,457.0,base20
34,134.7,1,3339.0,300.0,40.4,0.1,0.0,0.0,137.0,18.47,457.0,base20
35,136.2,1,3326.8,300.0,40.9,0.1,0.0,0.0,137.0,18.67,457.0,base20
36,138.4,1,3308.5,300.0,41.5,0.1,0.0,0.0,137.0,18.98,457.0,base20
37,141.8,1,3280.9,300.0,42.5,0.1,0.0,0.0,137.0,19.44,457.0,base20
38,146.9,1,3239.6,300.0,44.1,0.1,0.0,0.0,137.0,20.14,457.0,base20
39,154.5,1,3177.5,300.0,46.3,0.1,0.0,0.0,137.0,21.18,457.0,base20
40,165.9,1,3084.2,300.0,49.8,0.1,0.0,0.0,137.0,22.74,457.0,base20
41,166.9,2,2844.1,300.0,50.1,0.2,0.0,0.0,137.0,22.88,457.0,base20
